Team,Encoding
Anaheim Ducks,1
Arizona Coyotes,2
Winnipeg Jets,3
Boston Bruins,4
Buffalo Sabres,5
Calgary Flames,6
Carolina Hurricanes,7
Chicago Blackhawks,8
Colorado Avalanche,9
Columbus Blue Jackets,10
Dallas Stars,11
Detroit Red Wings,12
Edmonton Oilers,13
Florida Panthers,14
Los Angeles Kings,15
Minnesota Wild,16
Montreal Canadiens,17
Nashville Predators,18
New Jersey Devils,19
New York Islanders,20
New York Rangers,21
Ottawa Senators,22
Philadelphia Flyers,23
Pittsburgh Penguins,24
San Jose Sharks,25
St. Louis Blues,26
Tampa Bay Lightning,27
Toronto Maple Leafs,28
Vancouver Canucks,29
Vegas Golden Knights,30
Washington Capitals,31
Mighty Ducks of Anaheim,1
Phoenix Coyotes,2
Atlanta Thrashers,3
